(( 63 25 SUV-Small 27 4 2 4wd Gas 30 Mazda CX-5-4WD A 2015 ))
(( 64 24 SUV-Small 26 4 2.5 4wd Gas 29 Mazda CX-5-4WD A 2015 ))
(( 65 17 SUV-Small 20 6 3 Awd Gas 24 Volvo Xc60-Awd A 2015 ))
(( 66 17 SUV-Small 20 6 3 Awd Gas 24 Volvo Xc70-Awd A 2015 ))
(( 67 22 Two-Seater 26 4 2 Awd Gas 31 Audi TT-Roadster-Quattro A 2015 ))
(( 68 22 Subcompact 26 4 2 Awd Gas 31 Audi Tt-Coupe-Quattro A 2015 ))
(( 69 21 Compact 24 4 2 Awd Gas 28 Subaru Wrx M 2015 ))
(( 70 17 Compact 19 4 2.5 Awd Gas 23 Subaru Wrx M 2015 ))
(( 71 19 Compact 22 6 3 Awd Gas 28 Volvo S60-Awd A 2015 ))
(( 72 19 Midsize 22 6 3 Awd Gas 28 Volvo S80-Awd A 2015 ))
(( 73 20 Wagon-Small 23 5 2.5 Awd Gas 28 Volvo V60-Awd A 2015 ))
(( 74 19 Wagon-Small 22 6 3 Awd Gas 28 Volvo V60-Awd A 2015 ))
(( 75 16 Pickup-Standard 19 8 5.3 Rwd Gas 23 Chevrolet Silverado-C15-2wd A 2015 ))
(( 76 16 Pickup-Standard 19 8 5.3 Rwd Gas 23 Gmc Sierra-2WD A 2015 ))
(( 77 16 Pickup-Standard 18 8 5.3 4wd Gas 22 Chevrolet Silverado-K15-4wd A 2015 ))
(( 78 16 Pickup-Standard 18 8 5.3 4wd Gas 22 Gmc Sierra-K15-4wd A 2015 ))
(( 79 20 SUV-Small 23 4 2.4 Fwd Gas 27 Kia Sorento-Fwd A 2015 ))
(( 80 15 SUV-Standard 17 8 6.2 Rwd Gas 21 Cadillac Escalade-2wd A 2015 ))
(( 81 15 SUV-Standard 17 8 6.2 Rwd Gas 21 Cadillac Escalade-ESV-2WD A 2015 ))
(( 82 16 SUV-Standard 18 8 5.3 Rwd Gas 23 Chevrolet Tahoe-C1500-2wd A 2015 ))
(( 83 16 SUV-Standard 18 8 5.3 Rwd Gas 23 Chevrolet Suburban-C1500-2wd A 2015 ))
(( 84 15 SUV-Standard 17 8 6.2 Rwd Gas 21 Gmc Yukon-C1500-2wd A 2015 ))
(( 85 15 SUV-Standard 17 8 6.2 Rwd Gas 21 Gmc Yukon-C1500-Xl-2wd A 2015 ))
(( 86 16 SUV-Standard 18 8 5.3 Rwd Gas 23 Gmc Yukon-C1500-2wd A 2015 ))
(( 87 16 SUV-Standard 18 8 5.3 Rwd Gas 23 Gmc Yukon-C1500-Xl-2wd A 2015 ))
(( 88 14 SUV-Standard 16 8 6.2 4wd Gas 21 Cadillac Escalade-4wd A 2015 ))
(( 89 14 SUV-Standard 16 8 6.2 4wd Gas 20 Cadillac Escalade-4WD A 2015 ))
(( 90 16 SUV-Standard 18 8 5.3 4wd Gas 22 Chevrolet Tahoe-K1500-4wd A 2015 ))
(( 91 15 SUV-Standard 18 8 5.3 4wd Gas 22 Chevrolet Suburban-K1500-4wd A 2015 ))
(( 92 14 SUV-Standard 16 8 6.2 4wd Gas 20 Gmc Yukon-K1500-Xl-4wd A 2015 ))
(( 93 14 SUV-Standard 16 8 6.2 4wd Gas 21 Gmc Yukon-K1500-4wd A 2015 ))
(( 94 15 SUV-Standard 18 8 5.3 4wd Gas 22 Gmc Yukon-K1500-Xl-4wd A 2015 ))
(( 95 16 SUV-Standard 18 8 5.3 4wd Gas 22 Gmc Yukon-K1500-4wd A 2015 ))
(( 96 16 Two-Seater 18 8 5 Rwd Gas 23 Jaguar F-Type-V8-Conv A 2015 ))
(( 97 16 Two-Seater 18 8 5 Rwd Gas 23 Jaguar F-Type-R-Coupe A 2015 ))
(( 98 20 Two-Seater 23 6 3 Rwd Gas 28 Jaguar F-Type-Convertible A 2015 ))
